#EDL	Date	14.6.2024	Local Time	16:32:56		
Rate (Hz)	StonyBrook	Stony Brook gauge array																																			
128	element_1	element_1				element_4				element_9				element_10				element_11				element_12				element_13				element_14				element_15			
Time	Position	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge	Value	Peak	Offset	Gauge
s	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m	unit	unit	unit	m
07:18:11.594	0.00035437	0.36514282	0.29394531	0.00003052	-0.00167955	0.42248535	0.34179688	-0.00231934	-0.00018131	0.24411011	0.24902344	0.06582642	-0.00031651	0.18716431	0.19091797	0.05026245	0.00124959	0.30285645	0.30957031	0.08251953	-0.00029802	0.14056396	0.14501953	0.03936768	-0.00182605	0.18844604	0.19189453	0.05068970	-0.00054387	0.32763672	0.33447266	0.08721924	-0.00042742	0.10610962	0.10742188	0.02749634	-0.00079879
07:18:11.602	0.00035437	0.36517334	0.29394531	0.00006104	-0.00165930	0.42245483	0.34179688	-0.00234985	-0.00019905	0.24420166	0.24902344	0.06585693	-0.00022588	0.18725586	0.19091797	0.05023193	0.00134442	0.30282593	0.30957031	0.08248901	-0.00032288	0.14065552	0.14453125	0.03933716	-0.00170377	0.18847656	0.19238281	0.05072021	-0.00050445	0.32763672	0.33447266	0.08721924	-0.00042742	0.10623169	0.10791016	0.02743530	-0.00057915
07:18:11.609	0.00035437	0.36523438	0.29394531	0.00000000	-0.00161879	0.42239380	0.34179688	-0.00234985	-0.00023454	0.24432373	0.24951172	0.06579590	-0.00010503	0.18734741	0.19091797	0.05026245	0.00143926	0.30285645	0.31005859	0.08258057	-0.00029802	0.14068604	0.14501953	0.03930664	-0.00166300	0.18853760	0.19189453	0.05072021	-0.00042561	0.32766724	0.33447266	0.08724976	-0.00040475	0.10638428	0.10791016	0.02746582	-0.00030459
07:18:11.617	0.00035437	0.36532593	0.29394531	0.00003052	-0.00155803	0.42236328	0.34179688	-0.00238037	-0.00025228	0.24441528	0.24951172	0.06582642	-0.00001440	0.18737793	0.19042969	0.05029297	0.00147087	0.30282593	0.30957031	0.08255005	-0.00032288	0.14059448	0.14501953	0.03933716	-0.00178529	0.18847656	0.19238281	0.05072021	-0.00050445	0.32763672	0.33447266	0.08721924	-0.00042742	0.10607910	0.10791016	0.02746582	-0.00085371
07:18:11.625	0.00035437	0.36541748	0.29394531	0.00006104	-0.00149726	0.42233276	0.34179688	-0.00228882	-0.00027003	0.24450684	0.24951172	0.06585693	0.00007623	0.18743896	0.19091797	0.05029297	0.00153409	0.30285645	0.30957031	0.08258057	-0.00029802	0.14068604	0.14501953	0.03936768	-0.00166300	0.18853760	0.19238281	0.05072021	-0.00042561	0.32766724	0.33447266	0.08724976	-0.00040475	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.633	0.00035437	0.36547852	0.29394531	0.00006104	-0.00145676	0.42227173	0.34130859	-0.00241089	-0.00030551	0.24456787	0.24951172	0.06585693	0.00013665	0.18743896	0.19091797	0.05029297	0.00153409	0.30285645	0.30957031	0.08251953	-0.00029802	0.14059448	0.14453125	0.03933716	-0.00178529	0.18847656	0.19189453	0.05072021	-0.00050445	0.32772827	0.33447266	0.08724976	-0.00035940	0.10632324	0.10791016	0.02746582	-0.00041442
07:18:11.641	0.00035437	0.36563110	0.29443359	0.00003052	-0.00135549	0.42218018	0.34228516	-0.00231934	-0.00035874	0.24472046	0.24951172	0.06588745	0.00028771	0.18743896	0.19140625	0.05029297	0.00153409	0.30282593	0.30957031	0.08255005	-0.00032288	0.14068604	0.14501953	0.03936768	-0.00166300	0.18850708	0.19238281	0.05075073	-0.00046503	0.32769775	0.33447266	0.08721924	-0.00038207	0.10629272	0.10791016	0.02743530	-0.00046933
07:18:11.648	0.00035437	0.36575317	0.29394531	0.00003052	-0.00127447	0.42214966	0.34179688	-0.00234985	-0.00037648	0.24481201	0.24951172	0.06591797	0.00037834	0.18743896	0.19091797	0.05029297	0.00153409	0.30285645	0.30957031	0.08258057	-0.00029802	0.14065552	0.14501953	0.03933716	-0.00170377	0.18853760	0.19238281	0.05072021	-0.00042561	0.32769775	0.33447266	0.08721924	-0.00038207	0.10647583	0.10791016	0.02749634	-0.00013986
07:18:11.656	0.00035437	0.36584473	0.29443359	0.00000000	-0.00121371	0.42208862	0.34179688	-0.00228882	-0.00041197	0.24490356	0.24951172	0.06588745	0.00046897	0.18743896	0.19091797	0.05029297	0.00153409	0.30285645	0.31005859	0.08251953	-0.00029802	0.14065552	0.14453125	0.03933716	-0.00170377	0.18856812	0.19238281	0.05068970	-0.00038619	0.32775879	0.33496094	0.08721924	-0.00033673	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.664	0.00035437	0.36596680	0.29443359	0.00006104	-0.00113269	0.42202759	0.34179688	-0.00234985	-0.00044745	0.24490356	0.25000000	0.06588745	0.00046897	0.18734741	0.19091797	0.05032349	0.00143926	0.30288696	0.30957031	0.08255005	-0.00027315	0.14071655	0.14550781	0.03933716	-0.00162224	0.18856812	0.19189453	0.05068970	-0.00038619	0.32772827	0.33447266	0.08724976	-0.00035940	0.10638428	0.10791016	0.02746582	-0.00030459
07:18:11.672	0.00035437	0.36611938	0.29443359	-0.00003052	-0.00103142	0.42202759	0.34179688	-0.00234985	-0.00044745	0.24496460	0.24951172	0.06588745	0.00052940	0.18731689	0.19091797	0.05029297	0.00140765	0.30282593	0.30957031	0.08255005	-0.00032288	0.14068604	0.14501953	0.03930664	-0.00166300	0.18859863	0.19189453	0.05072021	-0.00034677	0.32775879	0.33447266	0.08721924	-0.00033673	0.10632324	0.10791016	0.02752686	-0.00041442
07:18:11.680	0.00035437	0.36624146	0.29492188	0.00003052	-0.00095040	0.42196655	0.34130859	-0.00241089	-0.00048294	0.24502563	0.25000000	0.06588745	0.00058982	0.18722534	0.19091797	0.05032349	0.00131281	0.30285645	0.31005859	0.08251953	-0.00029802	0.14077759	0.14501953	0.03933716	-0.00154071	0.18856812	0.19238281	0.05075073	-0.00038619	0.32772827	0.33496094	0.08724976	-0.00035940	0.10620117	0.10791016	0.02746582	-0.00063406
07:18:11.688	0.00035437	0.36639404	0.29443359	0.00006104	-0.00084913	0.42193604	0.34179688	-0.00231934	-0.00050068	0.24511719	0.25000000	0.06591797	0.00068045	0.18722534	0.19091797	0.05032349	0.00131281	0.30282593	0.30957031	0.08255005	-0.00032288	0.14074707	0.14501953	0.03936768	-0.00158148	0.18856812	0.19189453	0.05068970	-0.00038619	0.32775879	0.33447266	0.08721924	-0.00033673	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.695	0.00035437	0.36648560	0.29492188	0.00003052	-0.00078836	0.42190552	0.34130859	-0.00234985	-0.00051842	0.24511719	0.25000000	0.06591797	0.00068045	0.18716431	0.19042969	0.05032349	0.00124959	0.30285645	0.30957031	0.08258057	-0.00029802	0.14074707	0.14501953	0.03936768	-0.00158148	0.18859863	0.19189453	0.05072021	-0.00034677	0.32775879	0.33447266	0.08721924	-0.00033673	0.10607910	0.10791016	0.02746582	-0.00085371
07:18:11.703	0.00035437	0.36666870	0.29492188	0.00003052	-0.00066683	0.42187500	0.34130859	-0.00231934	-0.00053617	0.24514771	0.25048828	0.06594849	0.00071066	0.18710327	0.19042969	0.05026245	0.00118637	0.30282593	0.30957031	0.08255005	-0.00032288	0.14086914	0.14501953	0.03936768	-0.00141843	0.18859863	0.19238281	0.05072021	-0.00034677	0.32775879	0.33447266	0.08728027	-0.00033673	0.10626221	0.10791016	0.02746582	-0.00052424
07:18:11.711	0.00035437	0.36682129	0.29492188	0.00000000	-0.00056556	0.42190552	0.34130859	-0.00234985	-0.00051842	0.24523926	0.25000000	0.06597900	0.00080130	0.18698120	0.19042969	0.05032349	0.00105993	0.30288696	0.31005859	0.08255005	-0.00027315	0.14080811	0.14501953	0.03936768	-0.00149995	0.18859863	0.19189453	0.05072021	-0.00034677	0.32778931	0.33447266	0.08718872	-0.00031406	0.10638428	0.10791016	0.02746582	-0.00030459
07:18:11.719	0.00035437	0.36688232	0.29492188	0.00000000	-0.00052505	0.42187500	0.34130859	-0.00231934	-0.00053617	0.24526978	0.25000000	0.06594849	0.00083151	0.18688965	0.19042969	0.05029297	0.00096509	0.30285645	0.30957031	0.08251953	-0.00029802	0.14086914	0.14501953	0.03936768	-0.00141843	0.18859863	0.19238281	0.05072021	-0.00034677	0.32778931	0.33447266	0.08724976	-0.00031406	0.10604858	0.10791016	0.02749634	-0.00090862
07:18:11.727	0.00035437	0.36703491	0.29589844	0.00003052	-0.00042378	0.42184448	0.34130859	-0.00228882	-0.00055391	0.24523926	0.25000000	0.06597900	0.00080130	0.18676758	0.19042969	0.05029297	0.00083865	0.30288696	0.30957031	0.08255005	-0.00027315	0.14099121	0.14501953	0.03936768	-0.00125538	0.18865967	0.19238281	0.05072021	-0.00026793	0.32775879	0.33447266	0.08728027	-0.00033673	0.10638428	0.10791016	0.02752686	-0.00030459
07:18:11.734	0.00035437	0.36715698	0.29589844	0.00003052	-0.00034276	0.42184448	0.34130859	-0.00234985	-0.00055391	0.24520874	0.25000000	0.06594849	0.00077109	0.18664551	0.19042969	0.05029297	0.00071221	0.30288696	0.30957031	0.08255005	-0.00027315	0.14089966	0.14501953	0.03939819	-0.00137766	0.18859863	0.19238281	0.05072021	-0.00034677	0.32778931	0.33447266	0.08724976	-0.00031406	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.742	0.00035437	0.36727905	0.29589844	0.00003052	-0.00026174	0.42181396	0.34130859	-0.00231934	-0.00057165	0.24520874	0.25000000	0.06594849	0.00077109	0.18652344	0.18994141	0.05023193	0.00058577	0.30288696	0.30957031	0.08255005	-0.00027315	0.14099121	0.14501953	0.03936768	-0.00125538	0.18859863	0.19238281	0.05072021	-0.00034677	0.32778931	0.33447266	0.08718872	-0.00031406	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.750	0.00035437	0.36740112	0.29589844	-0.00003052	-0.00018072	0.42193604	0.34130859	-0.00231934	-0.00050068	0.24520874	0.25000000	0.06594849	0.00077109	0.18643188	0.19140625	0.05026245	0.00049094	0.30291748	0.30957031	0.08258057	-0.00024828	0.14096069	0.14501953	0.03939819	-0.00129614	0.18862915	0.19238281	0.05068970	-0.00030735	0.32775879	0.33447266	0.08721924	-0.00033673	0.10632324	0.10791016	0.02746582	-0.00041442
07:18:11.758	0.00035437	0.36749268	0.29541016	0.00000000	-0.00011995	0.42196655	0.34179688	-0.00228882	-0.00048294	0.24517822	0.25000000	0.06591797	0.00074088	0.18627930	0.18994141	0.05023193	0.00033289	0.30291748	0.30957031	0.08251953	-0.00024828	0.14096069	0.14501953	0.03939819	-0.00129614	0.18859863	0.19238281	0.05072021	-0.00034677	0.32778931	0.33447266	0.08724976	-0.00031406	0.10623169	0.10791016	0.02749634	-0.00057915
07:18:11.766	0.00035437	0.36758423	0.29541016	-0.00003052	-0.00005919	0.42196655	0.34082031	-0.00234985	-0.00048294	0.24511719	0.25000000	0.06591797	0.00068045	0.18612671	0.18994141	0.05020142	0.00017484	0.30288696	0.30957031	0.08255005	-0.00027315	0.14108276	0.14550781	0.03939819	-0.00113309	0.18865967	0.19238281	0.05072021	-0.00026793	0.32778931	0.33447266	0.08724976	-0.00031406	0.10614014	0.10791016	0.02752686	-0.00074388
07:18:11.773	0.00035437	0.36773682	0.29589844	-0.00006104	0.00004209	0.42199707	0.34130859	-0.00238037	-0.00046520	0.24505615	0.25000000	0.06591797	0.00062003	0.18600464	0.18994141	0.05020142	0.00004840	0.30288696	0.30957031	0.08255005	-0.00027315	0.14105225	0.14501953	0.03942871	-0.00117385	0.18869019	0.19238281	0.05068970	-0.00022851	0.32781982	0.33447266	0.08721924	-0.00029138	0.10650635	0.10791016	0.02746582	-0.00008495
