Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;262701;  0.000000000000E+00; -6.160183474435E-12;  4.313267514241E+04;  4.313267514241E+04
1;0.050069;262701; -1.582334710200E+00; -2.100763256534E-03;  6.679314220468E+05;  6.679314220487E+05
2;0.100126;262701;  6.347770566366E+03; -1.342095969749E-01;  2.088506091931E+06;  2.088515738563E+06
3;0.150086;262701; -5.700828111812E+03; -1.416373512737E-01;  2.486549700638E+06;  2.486556235677E+06
4;0.200084;262701;  1.055327843064E+04; -5.903859780362E-02;  1.070538491062E+06;  1.070590506464E+06
5;0.250085;262701; -8.721814878945E+02;  9.261230050648E-02;  3.337405875879E+05;  3.337417272444E+05
6;0.300017;262701; -2.862172797043E+04; -4.366838668587E-02;  5.320710991584E+05;  5.328403680951E+05
7;0.350201;262701;  9.584044775472E+03;  1.600864437252E-01;  1.862711144909E+06;  1.862735800720E+06
8;0.400149;262701;  6.990390568483E+04; -2.618819662358E-01;  2.634686829669E+06;  2.635614016972E+06
9;0.450138;262701; -2.457159604171E+04;  5.361113612777E-02;  1.465289899469E+06;  1.465495906790E+06
10;0.500138;262701; -8.759076111704E+04;  7.799652181324E-02;  6.884136753607E+04;  1.114059034221E+05
11;0.550087;262701;  2.587169588301E+03; -3.329938316188E-01;  7.392705949546E+05;  7.392751220020E+05
12;0.600025;262701;  6.020206520307E+04; -5.199221480224E-01;  1.603825038381E+06;  1.604954529696E+06
13;0.650009;262701; -4.383895499743E+04; -5.991334382270E-02;  2.282512897826E+06;  2.282933854214E+06
14;0.700098;262701;  1.184642890034E+04; -9.424561003199E-02;  1.725119411700E+06;  1.725160086051E+06
15;0.750155;262701;  2.561072614568E+04; -1.323678721678E-01;  4.772853466231E+05;  4.779719776251E+05
16;0.800114;262701; -4.080922662020E+03;  4.584017267055E-01;  3.308929233517E+05;  3.309180875296E+05
17;0.850094;262701; -2.182400796668E+04; -1.530430282388E-02;  1.516375468599E+06;  1.516532508419E+06
18;0.900103;262701; -2.160012187371E+03;  9.792348003488E-01;  2.378611638902E+06;  2.378612619653E+06
19;0.950012;262701;  2.826067842670E+04;  2.307757803751E+00;  1.746518204466E+06;  1.746746834685E+06
20;1.000066;262701;  5.611001947489E+03;  1.097255605210E+00;  7.625410597040E+05;  7.625617031287E+05
21;1.050087;262701; -3.438123497999E+04; -2.083788575021E+00;  3.813632457171E+05;  3.829099039030E+05
22;1.100023;262701; -4.158596484651E+02;  3.568864858733E+00;  9.766531404122E+05;  9.766532289554E+05
23;1.150205;262701;  4.223279472051E+04; -4.755800271767E+00;  2.415338909284E+06;  2.415708106472E+06
24;1.200147;262701; -2.851906762129E+04; -3.759576169321E+00;  2.090938273828E+06;  2.091132755755E+06
25;1.250136;262701; -6.479734699094E+03;  2.442199615132E+00;  7.131353951429E+05;  7.131648328215E+05
26;1.300080;262701;  1.357923493333E+04;  1.095780276439E+01;  4.020328663859E+05;  4.022621302036E+05
27;1.350112;262701;  3.802970020834E+03;  7.767120270730E+00;  1.054664199478E+06;  1.054671055970E+06
28;1.400197;262701;  3.300242476621E+02;  1.636805600963E+01;  1.953172108149E+06;  1.953172136100E+06
29;1.450110;262701; -1.019980055097E+04;  5.074293938459E+00;  2.107707821467E+06;  2.107732501204E+06
30;1.500079;262701;  5.222741459253E+03; -1.425497397992E+01;  1.354628983240E+06;  1.354639051358E+06
31;1.550014;262701;  1.066926991741E+04;  8.375598708716E-01;  3.476565921862E+05;  3.478202688341E+05
32;1.600069;262701; -6.664678495235E+03;  4.727147332235E+00;  5.447440224773E+05;  5.447847905242E+05
33;1.650173;262701; -6.555492066767E+02;  9.910208884991E+00;  1.940806504307E+06;  1.940806615045E+06
34;1.700052;262701; -8.217405371325E+02; -3.464624885050E+01;  2.371229799186E+06;  2.371229941825E+06
35;1.750019;262701;  5.499012492933E+03; -5.099906947638E+01;  1.376229025050E+06;  1.376240012181E+06
36;1.800017;262701;  2.896251677571E+03; -9.567053587990E+00;  4.020204124815E+05;  4.020308451066E+05
37;1.850048;262701; -7.094589806069E+03;  1.893832727743E+01;  5.435338856099E+05;  5.435801857770E+05
38;1.900097;262701; -1.077249111861E+03;  3.606765329427E+01;  1.700470844406E+06;  1.700471186007E+06
39;1.950158;262701;  1.531591979134E+04;  1.309573838667E+01;  2.326909563018E+06;  2.326959967862E+06
40;2.000140;262701; -4.206549097733E+03; -3.672985815175E+00;  1.588390655900E+06;  1.588396226015E+06
41;2.050140;262701; -1.424365452052E+04; -4.101559807342E+00;  5.081916049469E+05;  5.083911771947E+05
42;2.100076;262701;  1.558554333933E+04;  2.884120653332E+01;  5.938351254035E+05;  5.940396166553E+05
43;2.150047;262701;  1.284168004541E+04;  3.660173366379E+01;  1.472899066294E+06;  1.472955046693E+06
44;2.200198;262701; -2.673693636208E+04;  4.048931346018E+00;  2.011520706703E+06;  2.011698391230E+06
45;2.250002;262701;  5.621357965867E+03; -2.846868185388E+01;  1.902913657716E+06;  1.902921960880E+06
46;2.300116;262701;  3.406940334283E+04;  4.746617584981E+00;  9.300173977294E+05;  9.306412221399E+05
47;2.350061;262701; -2.331997854029E+04;  9.739310809204E+00;  3.099730361351E+05;  3.108490061506E+05
48;2.400139;262701; -1.311043107044E+04; -1.600600692970E+01;  1.169718060311E+06;  1.169791530264E+06
49;2.450154;262701;  2.880709203665E+04; -8.169338875281E+01;  2.115158371631E+06;  2.115354531114E+06
50;2.500101;262701;  4.655054533621E+03; -8.728044365605E+01;  2.005987984074E+06;  2.005993387178E+06
51;2.550059;262701; -1.255748705227E+04; -4.918658432391E+01;  1.033402910930E+06;  1.033479205993E+06
52;2.600021;262701; -4.558547512252E+03; -1.214389340582E+01;  4.264362660637E+05;  4.264606306768E+05
53;2.650098;262701;  1.369244886498E+04;  5.056978698589E+01;  9.234370782873E+05;  9.235385878614E+05
54;2.700041;262701;  1.425062418983E+04;  9.294521624000E+01;  1.934651927514E+06;  1.934704414003E+06
55;2.750141;262701; -1.328088789333E+04;  9.191570188784E+01;  2.189350753614E+06;  2.189391036974E+06
56;2.800148;262701; -7.070529607815E+03;  6.455917581427E+01;  1.173124509828E+06;  1.173145818777E+06
57;2.850058;262701;  2.346598486967E+04; -1.113210315482E+01;  4.434803064646E+05;  4.441007034353E+05
58;2.900122;262701; -6.077524089602E+01; -1.022113116085E+02;  9.184246923541E+05;  9.184247000525E+05
59;2.950106;262701; -1.065559443071E+04; -1.953645472770E+01;  1.681453346892E+06;  1.681487109629E+06
60;3.000201;262701;  6.517126084736E+03;  8.318876903910E+01;  2.074502617558E+06;  2.074512856096E+06
61;3.050166;262701;  9.807823106673E+03;  1.035507099906E+02;  1.581425514671E+06;  1.581455931277E+06
62;3.100063;262701;  9.836969665046E+03;  8.123842601634E+01;  6.173417082639E+05;  6.174200817386E+05
63;3.150080;262701; -8.343397769568E+03;  1.201901614400E+01;  5.320361498823E+05;  5.321015666321E+05
64;3.200176;262701; -6.238081682214E+03; -3.714554542006E+00;  1.580773822129E+06;  1.580786130508E+06
65;3.250170;262701;  1.992906266031E+04;  1.361487870894E+02;  2.259583381542E+06;  2.259671269060E+06
66;3.300137;262701;  7.039068581926E+03;  2.043189406054E+01;  1.563066248914E+06;  1.563082098739E+06
67;3.350139;262701; -1.030911079698E+04;  3.875151318498E+01;  6.869196075973E+05;  6.869969625615E+05
68;3.400181;262701;  3.866001079967E+03;  6.656890132055E+01;  6.836665450197E+05;  6.836774789145E+05
69;3.450041;262701;  1.168275276674E+04;  2.418601059007E+01;  1.362332765142E+06;  1.362382857451E+06
70;3.500140;262701;  3.492690637072E+03; -7.329801950767E+01;  1.984753754310E+06;  1.984756828810E+06
71;3.550140;262701;  2.964878781448E+03; -2.124440052743E+02;  1.820390443246E+06;  1.820392870097E+06
72;3.600177;262701; -2.143178493881E+03; -2.020845109154E+02;  9.845227206553E+05;  9.845250741036E+05
73;3.650028;262701;  8.220602991043E+03; -6.142885366957E+01;  5.643151719175E+05;  5.643750484769E+05
74;3.700139;262701;  1.050095153654E+04;  4.135037449964E+01;  1.119589798499E+06;  1.119639043887E+06
75;3.750130;262701; -7.602606168000E+03;  1.558191988233E+02;  1.909294673391E+06;  1.909309816070E+06
76;3.800048;262701; -1.227536968344E+03;  1.640084144961E+02;  1.957531288077E+06;  1.957531679832E+06
77;3.850105;262701;  2.555094100436E+04;  5.605172891431E+01;  1.198995470618E+06;  1.199267690005E+06
78;3.900176;262701; -3.079495242925E+02; -9.807373357021E+01;  5.455132632153E+05;  5.455133589521E+05
79;3.950077;262701; -2.119365081480E+04; -1.667015581244E+02;  9.214618061463E+05;  9.217055163178E+05
80;4.000030;262701;  2.170414737664E+04; -2.457610356086E+02;  1.822866192611E+06;  1.822995415951E+06
81;4.050072;262701;  2.045672612568E+04; -3.431080149230E+02;  2.018546532649E+06;  2.018650217308E+06
82;4.100140;262701; -1.698910953076E+04; -3.915287482353E+02;  1.327395706035E+06;  1.327504479667E+06
83;4.150094;262701; -9.128001072010E+02; -4.577130643100E+02;  6.678823034386E+05;  6.678830840437E+05
84;4.200035;262701;  1.752657460281E+04; -3.852455340200E+02;  8.110396420600E+05;  8.112290861552E+05
85;4.250029;262701;  6.463748161193E+03; -3.852208762361E+02;  1.589616580189E+06;  1.589629768358E+06
86;4.300013;262701; -6.451599039496E+03; -2.509715975410E+02;  2.033388523265E+06;  2.033398773646E+06
87;4.350133;262701;  2.745942609646E+03; -1.333365476196E+01;  1.558670079312E+06;  1.558672498160E+06
88;4.400021;262701;  1.249386721227E+04;  5.500129292945E+01;  7.518639898013E+05;  7.519677911340E+05
89;4.450046;262701;  4.740105882890E+03;  1.446398234368E+02;  6.981115414957E+05;  6.981276487104E+05
90;4.500120;262701; -5.467377864934E+03;  3.504807099357E+02;  1.454813453166E+06;  1.454823768905E+06
91;4.550103;262701; -5.595859182398E+02;  3.647716797949E+02;  1.962657490124E+06;  1.962657603795E+06
92;4.600103;262701;  1.526467925249E+04;  2.688077427600E+02;  1.670905573861E+06;  1.670975319821E+06
