Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;247818; -4.319910670922E+01;  7.837263051497E+01;  5.942643944439E+03;  5.943317716765E+03
1;0.050069;247818;  3.883884866506E+02;  7.401225393198E+01;  6.582242026816E+05;  6.582243214280E+05
2;0.100126;247818;  6.173308074152E+03;  3.066558521665E+02;  2.000994533818E+06;  2.001004079991E+06
3;0.150086;247818; -4.743134119272E+03;  4.636699063120E+01;  2.340223204246E+06;  2.340228011362E+06
4;0.200084;247818;  1.173768954168E+04; -1.762471168786E+02;  9.526768943230E+05;  9.527492164236E+05
5;0.250084;247818;  1.665472274784E+03; -1.182641865053E+02;  2.627490330605E+05;  2.627543380394E+05
6;0.300016;247818; -2.464115726033E+04;  1.027951823033E+02;  5.432263794640E+05;  5.437849727085E+05
7;0.350199;247818;  9.313075032629E+03;  6.332067405066E+01;  1.839096538812E+06;  1.839120120178E+06
8;0.400146;247818;  5.827056790720E+04; -3.253117400794E+01;  2.487196613434E+06;  2.487879107597E+06
9;0.450132;247818; -2.457631634375E+04; -3.234041969134E+01;  1.276579777189E+06;  1.276816323478E+06
10;0.500085;247818; -7.458758575939E+04;  5.825011668621E+00; -9.417902523809E+03;  7.517981691447E+04
11;0.550005;247818;  3.797492734774E+03; -4.611386561199E+01;  7.520073576981E+05;  7.520169473553E+05
12;0.600207;247818;  4.890338930381E+04; -1.407263057319E+01;  1.621586832445E+06;  1.622324072694E+06
13;0.650039;247818; -3.363370785361E+04; -4.225542678221E+01;  2.172023263562E+06;  2.172283656787E+06
14;0.700181;247818;  1.100930670317E+04; -6.358360269421E-01;  1.469120555942E+06;  1.469161806176E+06
15;0.750101;247818;  1.877920269935E+04; -2.585875936638E+01;  3.312870452396E+05;  3.318188744877E+05
16;0.800048;247818; -2.122226784231E+03;  7.404297782533E+00;  3.907792144142E+05;  3.907849770903E+05
17;0.850084;247818; -1.803198063170E+04; -3.142003160593E+01;  1.609102666441E+06;  1.609203698872E+06
18;0.900201;247818; -2.998801820829E+03; -2.795952978305E+01;  2.279349861334E+06;  2.279351834175E+06
19;0.950102;247818;  2.323437081454E+04; -3.690648652645E+00;  1.459050854776E+06;  1.459235838658E+06
20;1.000040;247818;  4.058413088834E+03; -4.320967939005E+01;  5.413765713680E+05;  5.413917847641E+05
21;1.050133;247818; -2.839481828258E+04;  4.382341629458E+00;  4.324645214343E+05;  4.333956945147E+05
22;1.100145;247818;  9.692482595965E+00; -3.596827428979E+01;  1.152929395390E+06;  1.152929395991E+06
23;1.150182;247818;  3.474308821935E+04; -5.483817347151E+01;  2.368378668809E+06;  2.368633488756E+06
24;1.200167;247818; -2.229914278741E+04; -3.196285271970E+01;  1.767964870435E+06;  1.768105493426E+06
25;1.250066;247818; -5.602266975039E+03; -7.370173383359E+01;  4.255199257961E+05;  4.255568094587E+05
26;1.300088;247818;  1.078946105627E+04;  8.501531992517E+00;  4.120060066497E+05;  4.121472577339E+05
27;1.350136;247818;  3.268864040434E+03; -2.903889196616E+01;  1.274280065554E+06;  1.274284258627E+06
28;1.400207;247818; -1.214662798612E+03; -7.681796627655E+01;  1.990079038039E+06;  1.990079410212E+06
29;1.450052;247818; -8.051595952181E+03; -4.274244458098E+01;  1.798378577278E+06;  1.798396601764E+06
30;1.500118;247818;  4.600896688990E+03;  1.996079620513E+01;  9.823121880454E+05;  9.823229628952E+05
31;1.550174;247818;  6.912054218597E+03;  3.632854630676E+01;  2.824531514357E+05;  2.825377153041E+05
32;1.600175;247818; -5.116955019662E+03;  1.645848591557E+01;  7.988890481291E+05;  7.989054354053E+05
33;1.650129;247818;  1.042290616295E+03; -2.840822635383E+01;  2.079880724388E+06;  2.079880985744E+06
34;1.700122;247818; -1.615047071863E+03; -1.431096981757E+02;  2.089731169036E+06;  2.089731798030E+06
35;1.750008;247818;  3.684408314961E+03; -1.520340110841E+02;  9.352226977976E+05;  9.352299676843E+05
36;1.800166;247818;  2.698885764719E+03; -4.167894806328E+01;  2.508338103367E+05;  2.508483329216E+05
37;1.850164;247818; -4.830214512677E+03;  1.065367343851E+01;  8.007684036620E+05;  8.007829714655E+05
38;1.900161;247818; -1.514693653771E+03;  3.603245253108E+00;  1.933146321797E+06;  1.933146915211E+06
39;1.950158;247818;  1.060469589844E+04; -6.584102437302E+01;  2.114713955236E+06;  2.114740545878E+06
40;2.000145;247818; -2.261717840939E+03;  4.150047611563E+01;  1.085876447606E+06;  1.085878803806E+06
41;2.050045;247818; -1.140452380261E+04; -4.571017757283E+01;  2.666145113857E+05;  2.668583199640E+05
42;2.100104;247818;  1.088012123463E+04; -2.168640750226E+01;  8.251294714818E+05;  8.252012010512E+05
43;2.150029;247818;  1.127001203463E+04;  3.188087821918E+01;  1.771068341253E+06;  1.771104198960E+06
44;2.200127;247818; -2.046194869361E+04; -1.445971948883E+01;  1.906191856759E+06;  1.906301677681E+06
45;2.250067;247818;  2.330158061095E+03;  1.191577334232E+02;  1.392198443069E+06;  1.392200398189E+06
46;2.300038;247818;  2.504955289791E+04;  2.675420331584E+02;  5.564086208858E+05;  5.569722659839E+05
47;2.350068;247818; -1.942922274716E+04;  7.513300178269E+00;  4.657248415616E+05;  4.661299419696E+05
48;2.400175;247818; -1.105762010442E+04; -1.879495875842E+00;  1.572650873808E+06;  1.572689747488E+06
49;2.450073;247818;  2.297202517609E+04; -9.245245109489E+01;  2.121930436864E+06;  2.122054782841E+06
50;2.500097;247818;  3.187531477232E+02; -1.682120449573E+02;  1.473063739852E+06;  1.473063783944E+06
51;2.550128;247818; -9.555553483033E+03;  1.820353849884E+01;  5.434059558096E+05;  5.434899647124E+05
52;2.600159;247818; -6.933311144317E+02;  9.869903052272E+01;  5.234889248220E+05;  5.234893932649E+05
53;2.650052;247818;  7.704975801093E+03; -5.422735443372E+00;  1.382697878654E+06;  1.382719346185E+06
54;2.700185;247818;  5.385908342817E+03; -1.740445853199E+00;  2.023544773079E+06;  2.023551940689E+06
55;2.750102;247818; -5.415281181790E+03;  4.701350582401E+01;  1.680238397399E+06;  1.680247124555E+06
56;2.800058;247818; -5.744082250694E+03;  1.753460314533E+02;  6.741997141389E+05;  6.742242058634E+05
57;2.850184;247818;  8.545800429994E+03;  3.916295167515E+01;  3.883800429802E+05;  3.884740532185E+05
58;2.900103;247818;  1.065699059381E+04;  9.794820745549E+01;  1.321130923473E+06;  1.321173909067E+06
59;2.950144;247818; -1.334306318673E+04;  9.302337282260E+01;  1.984478305101E+06;  1.984523164240E+06
60;3.000112;247818; -2.793773207498E+03;  8.900243126935E+01;  1.657682990029E+06;  1.657685346657E+06
